GeneID	Length	36808_FFPE_control	43323_FFPE_control	43917_FFPE_od	44331_FFPE_od	45726_FFPE_control	47198_FFPE_control	50276_FFPE_control	50315_FFPE_control	50416_FFPE_od	51234_FFPE_od	60126_FFPE_control	60126_FF_control	60127_FFPE_od	60127_FF_od	60177_FFPE_od	60459_FF_control	60460_FFPE_control	60460_FF_control	60461_FFPE_od	60461_FF_od	60462_FF_control	60462_FFPE_control	60516_FF_control	60629_FF_control	60631_FF_od	60636_FFPE_od	60636_FF_od	60679_FFPE_od	60679_FF_od	60749_FFPE_od	60749_FF_od	60792_FFPE_od	61478_FFPE_control
ENSCAFG00000011611	2334	137	78	74	156	110	137	114	6	217	245	2157	2043	632	2003	108	896	337	843	315	3395	2136	72	981	773	1126	298	1338	274	1400	628	782	63	237
ENSCAFG00000046378	5703	5	4	1	3	2	1	2	0	7	0	7	5	14	4	1	8	3	1	3	2	25	26	16	4	0	1	23	1	2	1	0	0	0
ENSCAFG00000045027	117	23	12	21	32	13	8	14	1	18	28	2	2	12	2	19	0	28	1	18	6	5	7	4	2	7	21	3	15	2	15	6	23	6
ENSCAFG00000011627	4852	273	263	25	351	143	332	202	5	5	11	3830	2660	467	1013	76	3026	620	3220	276	323	3021	33	1677	2999	39	80	1736	149	1150	14	12	21	177
ENSCAFG00000011644	483	0	0	0	2	0	0	0	0	0	1	6	6	1	1	2	4	2	7	1	6	6	4	7	3	9	1	4	0	5	1	2	4	1
ENSCAFG00000011662	2045	23	12	19	25	2	11	18	0	24	28	224	169	64	149	28	116	42	131	60	642	218	9	176	97	240	25	248	31	238	53	52	9	22
ENSCAFG00000011698	5225	30	20	19	53	30	20	22	2	10	22	75	91	69	80	19	72	63	59	49	89	82	10	157	27	114	91	442	33	96	59	64	21	36
ENSCAFG00000037735	1434	239	140	332	193	110	119	249	23	188	201	531	496	231	583	162	233	276	519	1205	7599	623	23	5700	327	879	491	1055	200	492	406	343	330	80
ENSCAFG00000030920	107	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000033023	1802	1	0	2	8	1	0	0	0	0	0	11	13	13	8	0	8	2	4	4	6	23	8	4	6	0	2	12	2	9	1	1	0	2
ENSCAFG00000045198	1081	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	2	5	2	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000011726	2455	7	4	0	1	0	1	4	0	1	0	6	8	1	9	0	3	4	2	2	17	18	13	13	6	5	1	27	0	12	11	18	0	4
ENSCAFG00000032450	273	0	0	0	1	9	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	2	2	0	0	1	0	0	0	0	0	3	0	0
ENSCAFG00000011746	1053	5	6	5	5	2	18	8	0	12	16	166	132	50	129	11	74	31	58	22	185	119	9	84	88	154	33	146	25	155	50	67	6	3
ENSCAFG00000011750	1340	91	80	97	175	79	143	82	4	260	510	855	1025	556	2016	274	488	288	474	511	3984	1320	62	847	430	1987	527	1418	301	1290	764	1172	179	265
ENSCAFG00000011754	879	108	66	33	77	29	101	74	2	108	87	699	578	395	558	40	401	265	605	120	443	689	35	357	356	161	107	328	152	507	103	207	42	127
ENSCAFG00000011764	4098	90	78	42	114	74	82	68	6	106	149	1407	1220	516	934	69	432	217	563	233	1310	1101	67	518	368	642	121	702	166	774	582	658	52	133
ENSCAFG00000049656	255	0	0	1	0	0	0	5	0	5	3	5	4	6	14	0	2	1	5	1	10	6	0	1	4	5	0	3	2	4	14	17	0	6
ENSCAFG00000011799	1769	1665	1885	793	3849	1025	2420	1568	83	952	2689	14201	14354	6603	16010	1898	14460	4272	18057	3178	13885	16331	237	11631	13560	12385	4574	13432	3728	15140	3041	3597	1551	2658
ENSCAFG00000045149	1179	1	0	0	0	0	0	0	0	1	0	0	2	0	0	2	0	0	0	0	0	4	10	1	1	0	1	0	1	1	1	0	0	0
ENSCAFG00000028737	1466	19	22	8	37	12	17	15	0	15	23	47	39	44	73	28	49	24	59	34	63	79	6	64	35	91	29	98	30	100	68	64	9	29
ENSCAFG00000011827	705	10	10	1	5	21	26	12	3	0	4	20	22	5	14	8	17	21	10	13	12	13	2	16	14	11	10	19	7	21	16	19	17	21
ENSCAFG00000034607	1214	2	0	0	0	0	5	1	0	0	0	2	1	4	4	0	1	0	1	1	1	4	3	4	7	0	0	0	0	2	4	2	0	1
ENSCAFG00000029999	107	6	1	0	2	1	0	1	0	0	3	0	0	1	0	0	0	0	0	0	0	0	10	0	0	0	0	0	1	0	2	1	0	0
ENSCAFG00000011832	1538	70	23	5	12	24	76	60	0	2	0	509	437	216	550	7	261	135	243	57	34	440	13	126	196	0	21	189	52	299	3	1	4	41
ENSCAFG00000011861	4416	16	7	8	14	8	5	9	3	31	37	73	90	76	123	13	57	17	68	24	181	96	9	50	40	118	27	67	10	53	85	120	9	16
ENSCAFG00000011879	1599	71	49	74	128	47	55	29	2	87	161	437	548	373	951	118	439	151	380	177	1034	575	14	485	390	1046	247	794	117	598	489	640	44	87
ENSCAFG00000011901	1096	6	8	7	9	7	4	12	2	3	4	13	15	10	36	12	24	8	15	7	12	16	4	20	5	7	7	22	3	34	14	23	1	7
ENSCAFG00000011921	3084	7	9	8	40	10	14	6	0	20	19	93	101	136	135	4	131	49	112	20	123	129	19	83	73	84	32	95	13	55	61	85	3	10
ENSCAFG00000011945	1617	0	0	0	2	0	1	1	0	0	0	6	14	2	3	0	4	3	19	0	0	30	4	6	25	1	0	1	1	0	2	0	0	0
ENSCAFG00000011975	1922	54	34	31	58	53	52	31	0	15	8	911	816	229	303	14	295	364	655	76	128	451	21	359	392	196	45	315	36	147	38	20	19	50
ENSCAFG00000012063	3448	19	13	11	3	9	22	25	25	2	1	19	37	39	13	5	17	32	59	18	9	10	8	23	9	4	5	19	3	9	4	0	15	13
ENSCAFG00000012112	4868	10	1	10	4	11	1	7	0	5	1	9	18	9	13	1	32	4	18	7	34	32	14	30	5	3	7	5	14	11	17	8	6	10
ENSCAFG00000028578	345	3	0	4	1	6	5	1	3	4	2	23	19	9	30	0	11	5	16	2	13	26	6	20	25	20	9	33	4	34	22	40	0	6
ENSCAFG00000012150	1700	4	0	7	34	0	20	4	0	10	8	91	86	54	59	9	59	18	43	11	56	101	3	113	53	66	17	113	25	88	14	27	5	5
ENSCAFG00000041898	513	2	1	2	5	0	6	3	0	0	10	11	7	10	38	4	7	5	9	12	66	21	3	11	10	29	9	25	11	34	15	19	6	15
ENSCAFG00000012196	1053	0	0	0	1	0	0	0	0	5	2	14	23	5	31	0	6	1	6	4	16	16	0	7	10	4	1	9	4	7	2	6	3	13
ENSCAFG00000012201	1395	54	83	37	77	37	52	40	5	21	35	1837	1533	307	924	39	451	128	359	129	626	1579	47	330	399	211	66	498	44	404	205	161	23	38
ENSCAFG00000012215	1089	192	187	185	354	131	275	153	4	513	338	1171	1142	807	1533	258	415	491	410	421	1875	3056	151	1112	299	1171	589	2254	558	1092	549	624	171	519
ENSCAFG00000039128	1002	0	1	0	1	6	0	3	0	0	0	1	0	0	1	4	2	1	1	1	9	3	0	3	0	8	3	7	1	5	8	8	12	0
ENSCAFG00000012233	372	31	33	13	60	13	41	29	0	19	62	971	762	106	451	63	757	218	656	210	910	725	7	511	766	1014	65	510	49	653	192	261	15	31
ENSCAFG00000012273	3430	21	16	8	28	20	99	21	3	6	0	277	190	48	46	6	152	52	104	29	11	152	12	61	102	28	12	46	20	58	7	4	12	85
ENSCAFG00000047782	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000021010	103	4	2	0	0	6	1	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000012416	2259	41	15	23	41	14	38	21	2	18	60	327	244	156	551	31	185	100	315	124	1224	378	34	279	205	420	85	428	79	441	182	253	17	57
ENSCAFG00000032533	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000012594	1123	147	103	63	130	111	131	91	5	102	131	1880	1456	391	925	87	622	326	687	271	1262	1681	57	649	598	559	201	992	145	794	246	322	50	148
ENSCAFG00000012620	2034	65	39	36	91	29	47	39	0	62	68	1126	984	418	925	37	305	133	321	193	1333	1482	68	400	297	586	150	842	174	888	341	410	44	70
ENSCAFG00000028719	107	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000012688	2111	210	111	85	260	95	170	96	12	179	249	2899	2037	650	1914	201	1751	477	2103	621	2630	2218	48	1531	1462	1524	292	1521	243	2065	630	777	140	196
ENSCAFG00000012774	3256	210	199	33	207	110	362	229	6	47	36	2174	1618	464	599	63	1981	903	3045	489	224	1798	80	820	1768	58	102	457	281	1165	72	58	70	337
ENSCAFG00000046316	309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0
ENSCAFG00000048326	2780	2	1	0	1	0	5	0	0	0	0	0	4	1	4	0	2	0	1	0	0	6	5	3	1	0	0	1	2	0	0	1	2	2
ENSCAFG00000044062	1122	0	0	0	0	0	0	0	0	0	2	0	1	3	0	0	0	1	0	0	4	3	2	0	1	0	0	1	0	0	0	0	0	0
ENSCAFG00000043371	497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000012783	5210	57	144	22	166	55	197	77	1	13	17	1409	1155	301	431	42	1204	200	849	121	239	1463	17	1130	1251	226	69	1086	83	447	49	40	30	90
ENSCAFG00000031673	1427	14	15	8	40	12	9	9	6	96	74	84	59	168	125	22	16	46	27	71	151	78	6	46	21	70	57	82	31	79	153	187	9	28
ENSCAFG00000045064	6113	27	29	3	15	11	34	13	0	16	7	324	227	108	80	5	58	48	51	26	87	138	29	43	35	14	15	35	13	26	16	11	12	37
ENSCAFG00000012787	1563	0	1	0	8	6	0	3	3	0	0	3	3	2	0	2	3	4	3	1	7	8	0	5	5	3	1	9	2	6	5	7	8	4
ENSCAFG00000044710	123	12	0	1	10	8	1	2	0	6	9	2	1	4	0	5	2	1	0	5	1	3	0	0	0	0	2	0	7	1	3	0	7	4
ENSCAFG00000012793	2993	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	4	5	0	0	1	0	1	0	0	1	2	0	2
ENSCAFG00000012800	4512	29	28	7	52	16	31	19	0	265	80	145	137	138	111	35	60	49	60	34	87	190	68	114	47	111	52	133	71	152	63	75	15	43
ENSCAFG00000021500	107	1	0	3	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	3	0	0	5	0
ENSCAFG00000022656	154	84	9	11	15	43	25	13	6	12	6	1	1	2	0	5	0	1	0	7	0	0	15	0	0	0	4	0	3	0	0	0	20	10
ENSCAFG00000012819	4023	342	293	47	391	73	548	394	7	91	72	6027	4547	1109	1533	110	2909	1145	4177	438	437	4069	80	1682	3252	169	181	1359	276	1519	158	116	118	388
ENSCAFG00000047755	798	9	0	0	4	0	0	2	0	4	2	35	25	18	10	0	11	13	12	5	11	20	3	16	9	7	1	22	8	18	7	11	0	5
ENSCAFG00000012835	826	4	0	0	0	3	1	0	0	0	0	2	4	4	1	0	2	0	3	1	0	7	1	15	2	5	4	13	0	5	3	2	4	4
ENSCAFG00000012847	3144	26	15	2	23	12	41	30	0	6	6	416	343	89	147	3	233	65	319	43	38	313	16	139	198	7	18	100	40	340	5	6	4	34
ENSCAFG00000012925	9194	92	78	33	181	84	139	74	3	35	77	1029	787	288	718	62	1107	346	1311	236	752	857	57	704	946	241	79	802	153	1102	238	248	29	109
ENSCAFG00000012983	5341	10	2	3	1	0	6	3	1	0	6	3	3	28	16	5	2	7	5	16	69	17	17	11	1	19	6	16	28	131	4	0	0	11
